epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3621,2.72388,14.5559,0.0027,9e-05,0.00197,1e-05,0,2.74451,5.99872,0.00272,9.72222e-05,9.72222e-05,0.0806528
2,47.1981,2.38293,2.25272,0.00218,0.10385,0.50259,0.19429,0.0812,2.43737,3.13727,0.00208,0.000197202,0.000197202,0.0607528
3,68.9254,2.2672,1.91446,0.00195,0.39013,0.29407,0.27655,0.1115,2.31556,1.85998,0.00194,0.000297098,0.000297098,0.0408527
4,100.477,2.16495,1.78725,0.00201,0.43076,0.44257,0.37786,0.17392,2.1125,1.65097,0.00179,0.00039685,0.00039685,0.0209524
5,121.962,2.11958,1.69039,0.00181,0.44649,0.37115,0.35267,0.15341,2.15283,1.65148,0.00173,0.000496394,0.000496394,0.00105195
6,143.224,2.09846,1.63132,0.00193,0.44392,0.45906,0.41477,0.2069,2.09531,1.60348,0.0018,0.000498699,0.000498699,0.000498699
7,176.643,2.09153,1.54436,0.00182,0.45862,0.5049,0.46868,0.22689,2.1445,1.6118,0.00185,0.000498127,0.000498127,0.000498127
8,214.778,2.07888,1.47478,0.00193,0.54804,0.48043,0.47867,0.23988,2.12043,1.47858,0.00185,0.000497452,0.000497452,0.000497452
9,236.285,2.05568,1.44096,0.00177,0.58275,0.44297,0.48671,0.24425,2.12513,1.46379,0.00182,0.000496674,0.000496674,0.000496674
10,257.694,2.08623,1.40588,0.00188,0.4944,0.52622,0.48138,0.23782,2.02261,1.4749,0.00172,0.000495793,0.000495793,0.000495793
11,279.31,2.04368,1.34802,0.00175,0.51345,0.49438,0.468,0.22788,2.0549,1.46091,0.00175,0.00049481,0.00049481,0.00049481
12,303.91,2.09958,1.3902,0.00174,0.50312,0.47243,0.45537,0.22894,2.08681,1.45184,0.00179,0.000493725,0.000493725,0.000493725
13,325.032,2.0121,1.38766,0.00178,0.56837,0.49092,0.48529,0.23748,2.05043,1.4914,0.00175,0.000492539,0.000492539,0.000492539
14,346.185,2.02565,1.32374,0.00171,0.60659,0.53527,0.53566,0.26874,2.07684,1.4154,0.00178,0.000491251,0.000491251,0.000491251
15,367.699,1.97167,1.31045,0.00184,0.61258,0.49725,0.50693,0.25917,2.03045,1.41486,0.00174,0.000489863,0.000489863,0.000489863
16,388.902,2.0063,1.34637,0.00171,0.51589,0.52267,0.50823,0.26141,1.99503,1.51069,0.00168,0.000488376,0.000488376,0.000488376
17,410.136,2.0173,1.33944,0.00177,0.54147,0.539,0.51096,0.27105,2.03874,1.3837,0.00169,0.000486789,0.000486789,0.000486789
18,431.671,1.99021,1.31289,0.0017,0.5991,0.54574,0.56233,0.29623,1.97615,1.31805,0.00166,0.000485104,0.000485104,0.000485104
19,453.125,1.95803,1.28317,0.00164,0.5755,0.55644,0.56142,0.29964,1.9401,1.30528,0.00162,0.000483322,0.000483322,0.000483322
20,474.657,1.94138,1.28369,0.00179,0.60722,0.54234,0.55041,0.29549,1.98993,1.2948,0.0017,0.000481442,0.000481442,0.000481442
21,495.872,1.93771,1.23529,0.00157,0.59622,0.53963,0.55293,0.28874,1.97767,1.32179,0.00168,0.000479467,0.000479467,0.000479467
22,517.109,1.96063,1.22836,0.00164,0.56855,0.54091,0.53881,0.2724,2.0676,1.32644,0.00171,0.000477396,0.000477396,0.000477396
23,539.807,1.93084,1.2002,0.00152,0.62147,0.55199,0.57354,0.3118,1.93192,1.2718,0.00167,0.000475232,0.000475232,0.000475232
24,561.296,1.94258,1.2478,0.00165,0.60995,0.53855,0.55462,0.29022,2.01526,1.31032,0.00173,0.000472973,0.000472973,0.000472973
25,582.579,1.8964,1.17981,0.00168,0.59157,0.53838,0.55603,0.29641,2.04714,1.33536,0.0017,0.000470623,0.000470623,0.000470623
26,603.826,1.95881,1.19275,0.0017,0.60102,0.52391,0.55157,0.29304,1.98252,1.27069,0.00167,0.000468181,0.000468181,0.000468181
27,624.954,1.89045,1.18922,0.00162,0.61647,0.56506,0.56514,0.30255,1.95877,1.29417,0.00167,0.000465649,0.000465649,0.000465649
28,647.753,1.8987,1.1837,0.00166,0.61279,0.56598,0.56454,0.30342,1.94023,1.23371,0.00166,0.000463028,0.000463028,0.000463028
29,673.505,1.91362,1.13765,0.00166,0.57474,0.48831,0.50254,0.25944,2.03442,1.39438,0.0017,0.000460319,0.000460319,0.000460319
30,706.425,1.97762,1.13138,0.00161,0.59165,0.58106,0.56922,0.30753,1.97474,1.22531,0.00166,0.000457523,0.000457523,0.000457523
31,735.849,1.92008,1.13787,0.00159,0.63128,0.55646,0.5768,0.3067,1.91884,1.27001,0.00167,0.000454642,0.000454642,0.000454642
32,775.018,1.86857,1.13745,0.00156,0.62809,0.59145,0.58759,0.31173,1.99742,1.22406,0.00172,0.000451676,0.000451676,0.000451676
33,798.749,1.87968,1.12387,0.00152,0.64261,0.52804,0.56561,0.29372,1.99115,1.2852,0.00162,0.000448627,0.000448627,0.000448627
34,819.952,1.89971,1.14162,0.00147,0.59947,0.56411,0.55981,0.29991,1.91131,1.29216,0.00164,0.000445497,0.000445497,0.000445497
35,844.943,1.89119,1.15329,0.00161,0.58156,0.50904,0.51941,0.27474,2.06009,1.3758,0.00167,0.000442286,0.000442286,0.000442286
36,866.338,1.8775,1.17043,0.00153,0.61927,0.53887,0.56764,0.30899,1.9239,1.25329,0.00166,0.000438997,0.000438997,0.000438997
37,887.849,1.83943,1.14036,0.00151,0.63172,0.51722,0.54627,0.29312,1.91291,1.35969,0.00163,0.00043563,0.00043563,0.00043563
38,922.036,1.86711,1.13679,0.00155,0.58252,0.58503,0.57383,0.30406,1.97125,1.29137,0.00168,0.000432187,0.000432187,0.000432187
39,943.556,1.8308,1.08808,0.00156,0.60955,0.58943,0.57474,0.30346,2.01206,1.23658,0.00173,0.00042867,0.00042867,0.00042867
40,970.42,1.82914,1.07296,0.00148,0.594,0.57996,0.58615,0.32252,1.95037,1.23493,0.0016,0.00042508,0.00042508,0.00042508
41,996.858,1.81155,1.08581,0.00149,0.54882,0.62072,0.57956,0.3225,1.94217,1.23894,0.00162,0.000421419,0.000421419,0.000421419
42,1018,1.88611,1.08777,0.00154,0.6849,0.54599,0.60044,0.33309,1.94416,1.22047,0.00156,0.000417687,0.000417687,0.000417687
43,1039.53,1.79935,1.03321,0.00145,0.61425,0.59656,0.5972,0.32937,1.91257,1.19799,0.0016,0.000413888,0.000413888,0.000413888
44,1060.71,1.81687,1.06865,0.00154,0.63745,0.55235,0.59034,0.31969,1.92022,1.17587,0.00163,0.000410023,0.000410023,0.000410023
45,1082.03,1.81937,1.03556,0.00155,0.64066,0.56581,0.5892,0.31711,1.93145,1.20974,0.00165,0.000406092,0.000406092,0.000406092
46,1103.18,1.81711,1.07646,0.0015,0.62357,0.56475,0.5807,0.31604,1.952,1.17614,0.00157,0.000402099,0.000402099,0.000402099
47,1130.26,1.80142,0.98292,0.00144,0.62626,0.55401,0.56216,0.30077,2.15622,1.21253,0.00174,0.000398044,0.000398044,0.000398044
48,1164.94,1.80447,1.00003,0.00149,0.58062,0.56693,0.54611,0.29519,1.91044,1.27428,0.00159,0.00039393,0.00039393,0.00039393
49,1195.38,1.78078,1.01638,0.00139,0.60221,0.59003,0.58247,0.31692,1.90716,1.19171,0.00163,0.000389759,0.000389759,0.000389759
50,1216.48,1.80814,0.9854,0.00144,0.61699,0.56651,0.57347,0.31142,1.89886,1.23205,0.00156,0.000385531,0.000385531,0.000385531
51,1268.31,1.7919,1.0014,0.00156,0.59294,0.59446,0.57986,0.31918,1.8954,1.23873,0.00162,0.00038125,0.00038125,0.00038125
52,1289.55,1.76962,0.97341,0.00134,0.65274,0.55496,0.59325,0.32905,1.8514,1.21831,0.00152,0.000376916,0.000376916,0.000376916
53,1310.91,1.77967,1.01933,0.00143,0.58383,0.61061,0.58458,0.31946,1.87923,1.16934,0.00163,0.000372533,0.000372533,0.000372533
54,1332.09,1.77956,1.00715,0.00145,0.59304,0.55193,0.56316,0.30761,1.88528,1.20531,0.00165,0.000368101,0.000368101,0.000368101
55,1354.15,1.7807,0.99874,0.00134,0.63205,0.56758,0.5824,0.32826,1.89701,1.18903,0.00156,0.000363623,0.000363623,0.000363623
56,1375.65,1.76281,0.95281,0.00135,0.68133,0.55646,0.59058,0.32972,1.84878,1.15802,0.00156,0.0003591,0.0003591,0.0003591
57,1403.88,1.77226,0.98391,0.00139,0.67846,0.56796,0.59913,0.33566,1.85272,1.1754,0.00153,0.000354535,0.000354535,0.000354535
58,1425.42,1.76146,0.96899,0.00142,0.6347,0.58602,0.59274,0.33401,1.89409,1.17003,0.00157,0.00034993,0.00034993,0.00034993
59,1446.74,1.75651,0.97136,0.00132,0.67681,0.57735,0.59783,0.32391,1.95377,1.19747,0.0016,0.000345286,0.000345286,0.000345286
60,1481.65,1.75024,0.98882,0.00132,0.63164,0.55656,0.58004,0.31722,1.89678,1.18999,0.00156,0.000340606,0.000340606,0.000340606
61,1502.96,1.72912,0.94927,0.00135,0.64379,0.58548,0.58943,0.32489,1.90072,1.16591,0.00162,0.000335892,0.000335892,0.000335892
62,1545.93,1.70499,0.92741,0.00143,0.64004,0.59518,0.59361,0.32256,1.86523,1.22598,0.00157,0.000331145,0.000331145,0.000331145
63,1568.16,1.71258,0.92913,0.0013,0.56515,0.5989,0.59107,0.33035,1.88239,1.2079,0.00153,0.000326368,0.000326368,0.000326368
